Model,Creator,License,"Context
Window","Index
Normalized avg",Chatbot Arena,MMLU,MT Bench,HumanEval,"Blended
USD/1M Tokens","Input Price
USD/1M Tokens","Output Price
USD/1M Tokens","Median
Tokens/s","P5
Tokens/s","P25
Tokens/s","P75
Tokens/s","P95
Tokens/s","Median
First Chunk (s)","P5
First Chunk (s)","P25
First Chunk (s)","P75
First Chunk (s)","P95
First Chunk (s)","Further
Analysis"
GPT-4o,,Proprietary,128k,100,1287,0.887,,90.2,$7.50,$5.00,$15.00,97.2,57,76.1,116.8,136.8,0.53,0.33,0.4,0.69,0.84,ModelProviders
GPT-4o (Aug 6),,Proprietary,128k,100,,0.887,,,$4.38,$2.50,$10.00,105.6,91.7,98.5,111.9,128,0.38,0.34,0.36,0.43,0.91,ModelProviders
GPT-4 Turbo,,Proprietary,128k,94,1256,0.864,9.32,85.4,$15.00,$10.00,$30.00,31.1,17.7,25.1,41.2,54,0.6,0.52,0.56,0.71,1.09,ModelProviders
GPT-4o mini,,Proprietary,128k,88,,0.82,,87.2,$0.26,$0.15,$0.60,99.3,53.4,77.8,131.5,158.3,0.56,0.34,0.44,0.69,0.89,ModelProviders
GPT-4,,Proprietary,8k,84,1186,0.864,,88.4,$37.50,$30.00,$60.00,26.7,16.6,20.8,33.1,47.1,0.6,0.48,0.53,0.81,1.2,ModelProviders
GPT-3.5 Turbo Instruct,,Proprietary,4k,60,,,,,$1.63,$1.50,$2.00,113,75.9,94.1,141.7,159.5,0.53,0.33,0.44,0.62,0.77,ModelProviders
GPT-3.5 Turbo,,Proprietary,16k,59,1107,0.7,8.39,73.2,$0.75,$0.50,$1.50,88.4,62,74.4,105.7,126,0.38,0.27,0.33,0.48,0.74,ModelProviders
Gemini 1.5 Pro,,Proprietary,2m,95,1265,0.859,,84.1,$5.25,$3.50,$10.50,64.2,55.7,61.2,66.4,70.5,1.09,0.81,0.95,1.34,1.75,ModelProviders
Gemini 1.5 Flash,,Proprietary,1m,84,1231,0.789,,74.3,$0.53,$0.35,$1.05,170.2,123.8,155.9,184.2,227.6,1.03,0.75,0.88,1.34,1.68,ModelProviders
Gemma 2 27B,,Open,8k,78,1212,0.752,,51.8,$0.80,$0.80,$0.80,76,42.2,70,78.9,81.4,0.43,0.34,0.38,0.61,2.43,ModelProviders
